Date,Mean_Gauge,filename
01/06/01,2.28,Inundation Boundary (01JUN2001 00 00 00 Value_0).tif
02/06/01,2.27,Inundation Boundary (02JUN2001 00 00 00 Value_0).tif
03/06/01,2.27,Inundation Boundary (03JUN2001 00 00 00 Value_0).tif
04/06/01,2.25,Inundation Boundary (04JUN2001 00 00 00 Value_0).tif
05/06/01,2.26,Inundation Boundary (05JUN2001 00 00 00 Value_0).tif
06/06/01,2.3,Inundation Boundary (06JUN2001 00 00 00 Value_0).tif
07/06/01,2.33,Inundation Boundary (07JUN2001 00 00 00 Value_0).tif
08/06/01,2.3,Inundation Boundary (08JUN2001 00 00 00 Value_0).tif
09/06/01,2.35,Inundation Boundary (09JUN2001 00 00 00 Value_0).tif
10/06/01,2.71,Inundation Boundary (10JUN2001 00 00 00 Value_0).tif
11/06/01,2.66,Inundation Boundary (11JUN2001 00 00 00 Value_0).tif
12/06/01,2.58,Inundation Boundary (12JUN2001 00 00 00 Value_0).tif
13/06/01,2.6,Inundation Boundary (13JUN2001 00 00 00 Value_0).tif
14/06/01,2.71,Inundation Boundary (14JUN2001 00 00 00 Value_0).tif
15/06/01,2.975,Inundation Boundary (15JUN2001 00 00 00 Value_0).tif
16/06/01,3.02,Inundation Boundary (16JUN2001 00 00 00 Value_0).tif
17/06/01,3.24,Inundation Boundary (17JUN2001 00 00 00 Value_0).tif
18/06/01,3.165,Inundation Boundary (18JUN2001 00 00 00 Value_0).tif
19/06/01,3.29,Inundation Boundary (19JUN2001 00 00 00 Value_0).tif
20/06/01,4.02,Inundation Boundary (20JUN2001 00 00 00 Value_0).tif
21/06/01,4.215,Inundation Boundary (21JUN2001 00 00 00 Value_0).tif
22/06/01,3.605,Inundation Boundary (22JUN2001 00 00 00 Value_0).tif
23/06/01,3.26,Inundation Boundary (23JUN2001 00 00 00 Value_0).tif
24/06/01,3.14,Inundation Boundary (24JUN2001 00 00 00 Value_0).tif
25/06/01,3.04,Inundation Boundary (25JUN2001 00 00 00 Value_0).tif
26/06/01,2.96,Inundation Boundary (26JUN2001 00 00 00 Value_0).tif
27/06/01,2.98,Inundation Boundary (27JUN2001 00 00 00 Value_0).tif
28/06/01,3,Inundation Boundary (28JUN2001 00 00 00 Value_0).tif
29/06/01,2.92,Inundation Boundary (29JUN2001 00 00 00 Value_0).tif
30/06/01,2.9,Inundation Boundary (30JUN2001 00 00 00 Value_0).tif
01/07/01,3.05,Inundation Boundary (01JUL2001 00 00 00 Value_0).tif
02/07/01,3.165,Inundation Boundary (02JUL2001 00 00 00 Value_0).tif
03/07/01,3.11,Inundation Boundary (03JUL2001 00 00 00 Value_0).tif
04/07/01,3.14,Inundation Boundary (04JUL2001 00 00 00 Value_0).tif
05/07/01,3.075,Inundation Boundary (05JUL2001 00 00 00 Value_0).tif
06/07/01,3.02,Inundation Boundary (06JUL2001 00 00 00 Value_0).tif
07/07/01,2.97,Inundation Boundary (07JUL2001 00 00 00 Value_0).tif
08/07/01,2.95,Inundation Boundary (08JUL2001 00 00 00 Value_0).tif
09/07/01,3.06,Inundation Boundary (09JUL2001 00 00 00 Value_0).tif
10/07/01,5.22,Inundation Boundary (10JUL2001 00 00 00 Value_0).tif
11/07/01,6.32,Inundation Boundary (11JUL2001 00 00 00 Value_0).tif
12/07/01,4.855,Inundation Boundary (12JUL2001 00 00 00 Value_0).tif
13/07/01,4.21,Inundation Boundary (13JUL2001 00 00 00 Value_0).tif
14/07/01,3.845,Inundation Boundary (14JUL2001 00 00 00 Value_0).tif
15/07/01,3.83,Inundation Boundary (15JUL2001 00 00 00 Value_0).tif
16/07/01,8.19,Inundation Boundary (16JUL2001 00 00 00 Value_0).tif
17/07/01,7.09,Inundation Boundary (17JUL2001 00 00 00 Value_0).tif
18/07/01,5.805,Inundation Boundary (18JUL2001 00 00 00 Value_0).tif
19/07/01,5.46,Inundation Boundary (19JUL2001 00 00 00 Value_0).tif
20/07/01,6.185,Inundation Boundary (20JUL2001 00 00 00 Value_0).tif
21/07/01,7.01,Inundation Boundary (21JUL2001 00 00 00 Value_0).tif
22/07/01,5.93,Inundation Boundary (22JUL2001 00 00 00 Value_0).tif
23/07/01,5.84,Inundation Boundary (23JUL2001 00 00 00 Value_0).tif
24/07/01,5.645,Inundation Boundary (24JUL2001 00 00 00 Value_0).tif
25/07/01,5.56,Inundation Boundary (25JUL2001 00 00 00 Value_0).tif
26/07/01,6.19,Inundation Boundary (26JUL2001 00 00 00 Value_0).tif
27/07/01,4.78,Inundation Boundary (27JUL2001 00 00 00 Value_0).tif
28/07/01,4.465,Inundation Boundary (28JUL2001 00 00 00 Value_0).tif
29/07/01,4.37,Inundation Boundary (29JUL2001 00 00 00 Value_0).tif
30/07/01,5.16,Inundation Boundary (30JUL2001 00 00 00 Value_0).tif
31/07/01,5.085,Inundation Boundary (31JUL2001 00 00 00 Value_0).tif
01/08/01,4.305,Inundation Boundary (01AUG2001 00 00 00 Value_0).tif
02/08/01,3.66,Inundation Boundary (02AUG2001 00 00 00 Value_0).tif
03/08/01,3.445,Inundation Boundary (03AUG2001 00 00 00 Value_0).tif
04/08/01,3.37,Inundation Boundary (04AUG2001 00 00 00 Value_0).tif
05/08/01,3.36,Inundation Boundary (05AUG2001 00 00 00 Value_0).tif
06/08/01,3.48,Inundation Boundary (06AUG2001 00 00 00 Value_0).tif
07/08/01,3.57,Inundation Boundary (07AUG2001 00 00 00 Value_0).tif
08/08/01,3.35,Inundation Boundary (08AUG2001 00 00 00 Value_0).tif
09/08/01,3.41,Inundation Boundary (09AUG2001 00 00 00 Value_0).tif
10/08/01,3.485,Inundation Boundary (10AUG2001 00 00 00 Value_0).tif
11/08/01,4.63,Inundation Boundary (11AUG2001 00 00 00 Value_0).tif
12/08/01,4.53,Inundation Boundary (12AUG2001 00 00 00 Value_0).tif
13/08/01,3.975,Inundation Boundary (13AUG2001 00 00 00 Value_0).tif
14/08/01,3.96,Inundation Boundary (14AUG2001 00 00 00 Value_0).tif
15/08/01,4.6,Inundation Boundary (15AUG2001 00 00 00 Value_0).tif
16/08/01,7.19,Inundation Boundary (16AUG2001 00 00 00 Value_0).tif
17/08/01,6.6,Inundation Boundary (17AUG2001 00 00 00 Value_0).tif
18/08/01,6.985,Inundation Boundary (18AUG2001 00 00 00 Value_0).tif
19/08/01,6.52,Inundation Boundary (19AUG2001 00 00 00 Value_0).tif
20/08/01,5.64,Inundation Boundary (20AUG2001 00 00 00 Value_0).tif
21/08/01,5.155,Inundation Boundary (21AUG2001 00 00 00 Value_0).tif
22/08/01,4.48,Inundation Boundary (22AUG2001 00 00 00 Value_0).tif
23/08/01,5.505,Inundation Boundary (23AUG2001 00 00 00 Value_0).tif
24/08/01,5.86,Inundation Boundary (24AUG2001 00 00 00 Value_0).tif
25/08/01,5.22,Inundation Boundary (25AUG2001 00 00 00 Value_0).tif
26/08/01,5.17,Inundation Boundary (26AUG2001 00 00 00 Value_0).tif
27/08/01,5.23,Inundation Boundary (27AUG2001 00 00 00 Value_0).tif
28/08/01,5.64,Inundation Boundary (28AUG2001 00 00 00 Value_0).tif
29/08/01,5.545,Inundation Boundary (29AUG2001 00 00 00 Value_0).tif
30/08/01,5,Inundation Boundary (30AUG2001 00 00 00 Value_0).tif
31/08/01,4,Inundation Boundary (31AUG2001 00 00 00 Value_0).tif
01/09/01,3.74,Inundation Boundary (01SEP2001 00 00 00 Value_0).tif
02/09/01,3.62,Inundation Boundary (02SEP2001 00 00 00 Value_0).tif
03/09/01,3.8,Inundation Boundary (03SEP2001 00 00 00 Value_0).tif
04/09/01,3.94,Inundation Boundary (04SEP2001 00 00 00 Value_0).tif
05/09/01,3.87,Inundation Boundary (05SEP2001 00 00 00 Value_0).tif
