Date,pptn,PET,temp(min),temp(max),wind,Q_ds
02-01-1979,0,-3.0892,14.9021,27.0971,1.8084,103.1
03-01-1979,0.0966,-2.9026,14.9782,26.5601,1.727,101.7
04-01-1979,0.0101,-3.251,10.6526,26.1371,2.1546,96.2
05-01-1979,0,-3.0944,10.2387,24.8038,2.0605,107.1
06-01-1979,0,-3.1631,10.4596,25.2963,2.6417,99.3
07-01-1979,0,-3.1607,12.6939,26.2131,1.9704,90
08-01-1979,0,-3.2607,13.4283,27.1241,1.7703,98.6
09-01-1979,0,-3.3071,13.8945,27.5758,0.767,94.4
10-01-1979,0,-3.382,13.1134,27.6077,1.7093,97.8
11-01-1979,0,-3.3596,12.2995,27.0404,1.9064,93.4
12-01-1979,0,-3.4459,12.1476,27.4472,1.5517,94
13-01-1979,0,-3.5725,13.1655,28.6005,1.1546,92.6
14-01-1979,0.0007,-3.5887,14.1925,29.0727,1.2486,87
15-01-1979,0.1008,-3.174,16.0731,28.0937,0.837,87
16-01-1979,3.273,0.1251,15.0576,26.7585,1.0655,87
17-01-1979,3.1092,0.3799,14.7023,24.1483,1.8572,92
18-01-1979,10.0969,7.7442,15.5606,22.6431,3.1145,91.3
19-01-1979,2.8272,0.4292,15.3244,22.6641,2.4456,93.3
20-01-1979,0.3644,-2.1551,13.9445,22.361,2.4102,83.9
21-01-1979,0.0679,-2.1282,14.1793,20.7702,3.0425,105.4
22-01-1979,4.0013,1.3254,14.6542,23.5188,2.8651,105.9
23-01-1979,0.4131,-2.3081,13.6678,23.1086,2.5241,99.1
24-01-1979,0.0019,-3.0268,13.6533,24.7403,2.6408,102.3
25-01-1979,0.0035,-3.415,15.1218,27.6086,2.223,116.9
26-01-1979,1.751,-1.5151,16.4942,27.4449,0.9292,109
27-01-1979,12.094,9.4483,15.2679,23.4271,1.2819,159.3
28-01-1979,0.3918,-2.9759,14.9121,26.9566,2.1981,150.7
29-01-1979,0,-3.0841,12.2332,23.8983,2.1632,145
30-01-1979,0,-3.1466,9.7013,22.9761,1.6265,146.8
31-01-1979,0,-2.9529,10.1077,21.9072,2.4636,139.1
01-02-1979,0.0006,-3.0458,11.2998,22.9503,2.5447,139.5
02-02-1979,0,-2.9592,9.4476,21.4558,2.5071,144.2
03-02-1979,0,-3.039,7.8501,21.1333,2.0521,151.5
04-02-1979,0,-3.3649,8.0009,23.1066,2.7227,163.2
05-02-1979,1.7515,-1.6173,10.7847,24.1758,2.2739,169.5
06-02-1979,20.8383,18.0396,14.5805,23.0669,1.4071,148.9
07-02-1979,0.0034,-3.3007,11.8371,24.1088,1.695,173.9
08-02-1979,0,-3.1665,10.3007,22.5014,1.7293,146.2
09-02-1979,0,-3.157,10.4112,22.4049,2.0492,193.5
10-02-1979,0,-3.3623,10.4016,23.4549,2.107,248.5
11-02-1979,0,-3.5647,11.1179,24.808,2.5685,216.6
12-02-1979,0.1013,-3.6971,12.1928,26.4579,1.9459,225.9
13-02-1979,0.4893,-3.2995,15.292,27.7928,1.3868,211.2
14-02-1979,19.6827,16.3043,16.0643,26.1262,1.3173,197.9
15-02-1979,14.3237,11.2412,15.0979,24.0664,0.8491,242
16-02-1979,0.2913,-2.9339,15.2268,24.7374,0.7313,227.8
17-02-1979,0.2126,-3.2482,15.5383,25.9476,1.7679,205.8
18-02-1979,2.0685,-1.7046,17.4075,28.3838,1.8455,167.2
19-02-1979,0.0517,-3.535,14.1815,25.6169,2.8116,156.2
20-02-1979,0,-3.6965,12.9143,25.4108,2.1218,167.4
21-02-1979,0,-3.7939,10.2171,24.5774,1.7337,166.1
22-02-1979,0,-4.084,10.2394,26.0325,1.3756,166.6
23-02-1979,0,-4.1733,12.5679,27.3494,1.2266,160.6
24-02-1979,0,-4.0559,12.7958,26.7468,2.711,157.6
25-02-1979,0,-4.0206,12.8209,26.4814,2.0559,153.2
26-02-1979,0,-4.4116,13.4456,28.5834,0.8958,153.8
27-02-1979,0,-4.7719,13.4082,30.2276,0.6788,153.3
28-02-1979,0,-4.445,14.5189,29.0034,2.8165,149.6
01-03-1979,0,-4.4121,13.8525,28.43,2.6468,146.5
02-03-1979,4.0086,-0.1186,16.3945,28.2778,1.2768,137.7
03-03-1979,2.236,-2.3729,16.8239,30.5511,0.9634,138.4
04-03-1979,0.0261,-4.3731,17.4688,29.8622,1.1828,122.7
05-03-1979,0.1252,-4.4769,18.0457,30.9495,0.8934,126.4
06-03-1979,0.0351,-4.8021,17.1503,31.4105,2.0825,118.2
07-03-1979,0,-4.4545,14.5714,28.3346,2.1034,114
08-03-1979,0,-4.2156,11.4422,25.6688,2.5143,110.3
09-03-1979,0,-3.889,7.9459,22.4853,3.1241,102.9
10-03-1979,0,-4.4278,8.066,25.2153,1.8421,101.8
11-03-1979,0,-5.1499,11.2959,29.8265,0.8558,104.3
12-03-1979,0,-5.0739,13.9162,30.3567,1.0454,100.8
13-03-1979,0,-5.3022,15.5277,31.9634,1.117,102.3
14-03-1979,0,-5.507,16.5565,33.2017,1.685,96
15-03-1979,0,-5.3006,17.8617,32.8237,1.2173,99.1
16-03-1979,0,-5.8275,17.1811,34.6373,1.7862,98.6
17-03-1979,0,-5.8638,18.1928,35.1257,3.3101,98.7
18-03-1979,0,-5.4662,18.0768,33.3158,1.4435,88
19-03-1979,0,-5.651,17.4335,33.689,0.721,95.4
20-03-1979,0,-5.9589,17.1711,34.76,1.7062,86.7
21-03-1979,0,-5.6333,18.7702,34.0482,0.8471,80.9
22-03-1979,0,-5.6332,18.9858,34.0554,0.4437,76.5
23-03-1979,0.0202,-5.8498,19.5218,35.1692,1.2516,74.4
24-03-1979,0,-5.8754,19.2547,34.9726,2.7341,70
25-03-1979,0,-5.8194,18.2963,34.2026,1.9451,70.4
26-03-1979,0,-5.862,18.6293,34.4391,1.1938,67.1
27-03-1979,0,-6.0478,19.2728,35.3828,1.3845,64.8
28-03-1979,0,-6.0114,19.9634,35.4917,1.2946,65.8
29-03-1979,0,-6.007,20.4807,35.6508,1.4331,66
30-03-1979,0,-5.9648,19.9575,35.1439,1.9205,71.6
31-03-1979,0,-5.6551,21.2249,34.5729,1.9941,74.3
01-04-1979,0,-5.9744,20.7614,35.4293,1.9688,78
02-04-1979,0,-6.238,21.6843,36.8113,1.6893,76.6
03-04-1979,0.0178,-5.9587,21.8974,35.8899,1.2254,79.6
04-04-1979,0.0018,-5.754,22.7465,35.5121,2.2325,81.3
05-04-1979,0,-5.6804,20.5255,33.945,2.3444,82.4
06-04-1979,0,-6.1115,19.2113,34.8007,2.2043,72.3
07-04-1979,0,-6.47,19.2285,36.0978,1.5895,76
08-04-1979,0,-6.7855,21.4536,38.2453,0.3794,72.9
09-04-1979,0,-7.1422,22.1217,39.7909,0.5645,72.9
10-04-1979,0,-7.2051,22.3548,40.0629,2.1487,68.7
11-04-1979,0,-7.16,21.6074,39.473,2.3592,67.2
12-04-1979,0,-6.9371,22.2308,38.8951,2.089,65.5
13-04-1979,0,-7.1222,23.5851,40.1602,1.6299,65.3
14-04-1979,0,-6.7813,26.0236,40.2336,2.0053,65
15-04-1979,0,-7.008,24.1846,39.9358,2.0281,64.7
16-04-1979,0.0002,-6.7256,23.2698,38.4373,0.795,62
17-04-1979,0,-7.0308,22.6076,39.1033,0.6775,60.7
18-04-1979,0,-7.2475,22.4362,39.7269,1.7052,55
19-04-1979,0,-7.2491,23.8031,40.3394,2.342,53.8
20-04-1979,0,-7.1059,24.6155,40.2308,2.5423,44.4
21-04-1979,0,-7.0911,22.5852,39.0967,2.2465,49.9
22-04-1979,0,-7.2935,21.6924,39.3165,1.7706,50
23-04-1979,0,-7.7704,20.6304,40.5004,0.8391,63.9
24-04-1979,0,-7.6669,22.6962,40.9902,1.9365,63.1
25-04-1979,0,-7.7816,22.8799,41.4201,1.4256,67.7
26-04-1979,0,-8.0376,22.4645,42.0775,1.1641,65.2
27-04-1979,0,-8.0029,24.7494,42.9656,1.6958,62.4
28-04-1979,0,-7.7478,26.4806,42.9397,2.3467,60.6
29-04-1979,0,-7.344,26.4184,41.5757,2.7345,61.4
30-04-1979,0,-7.4734,25.315,41.3682,3.4624,57.7
01-05-1979,0,-7.6189,22.6621,40.4904,3.3677,59.8
02-05-1979,0,-7.4819,21.4153,39.4113,1.9216,57.3
03-05-1979,0,-7.1952,23.5589,39.4195,2.0643,56.6
04-05-1979,0,-7.3032,23.9706,39.956,2.2418,56.4
05-05-1979,0,-7.6405,22.5142,40.3438,0.9865,56.4
06-05-1979,0,-7.3768,24.2529,40.2862,0.7083,54
07-05-1979,0,-7.307,26.2921,41.1284,0.827,53.9
08-05-1979,0,-7.5962,26.4887,42.1211,1.0552,53.8
09-05-1979,0,-7.634,27.7873,42.9075,2.0228,52.7
10-05-1979,0,-7.1193,30.0984,42.7162,2.3995,53.4
11-05-1979,0,-6.6456,30.2985,41.4793,3.3063,56
12-05-1979,0,-6.8508,29.3361,41.4244,1.8667,53.6
13-05-1979,0.8818,-5.0528,27.0199,37.2799,1.3097,50.8
14-05-1979,4.5964,-1.0444,23.7523,34.2902,2.0141,51.6
